,wasteST,nuclear-3,CCGT,bioST,SCPC,hydro_turbine,geothermal,oil-eng
AL,0,0,0,0,0,2203,0,97
DE,1912,4056,31808,8467,37508,5049,56,4083
HU,49,1916,3151,213,829,61,3,425
MK,0,0,251,7,824,644,0,165
AT,103,0,4206,482,0,8673,0,120
DK,385,0,1568,1754,3022,5,0,959
IE,0,0,4265,0,1199,216,17,1272
SI,33,696,618,14,1191,1129,0,58
BA,0,0,0,0,1883,1708,0,0
EE,17,0,110,152,78,8,0,1330
IT,120,0,44215,1534,7648,14993,869,1543
NL,786,486,18351,415,4006,37,0,0
BE,384,4937,6988,730,0,186,0,450
ES,546,7117,29903,707,3223,16928,0,670
LT,70,0,1518,99,0,128,0,0
NO,90,0,459,2,0,33403,0,0
BG,6,2080,695,74,4475,2352,0,0
FI,114,2794,1780,1833,2608,3167,0,1051
LU,21,0,70,47,0,33,0,0
PL,0,0,3786,664,26849,792,0,393
CH,0,2970,0,0,0,6193,0,0
FR,929,61370,12893,1343,1816,20482,2,2566
LV,0,0,1157,177,0,1609,0,0
PT,0,0,4520,681,0,4371,0,0
UK,0,8985,29237,2119,11611,1525,0,1075
GR,0,0,6030,127,2650,2724,0,0
RO,0,1300,1988,118,2673,6136,0,0
XK,0,0,0,0,1288,68,0,0
CZ,100,4040,1240,410,8740,1112,0,0
HR,6,0,766,114,217,1874,10,45
ME,0,0,0,0,210,649,0,0
RS,32,0,608,2,6011,2536,0,0
